Rail,V,Typ,Max,Limit,Used,Largest load,State
V48_LEV,48.0 V,63.14 A,76.17 A,80.00 A,95%,U40,tight
HV400,400.0 V,7.50 A,8.40 A,10.00 A,84%,U1,tight
TX12,12.0 V,393 mA,587 mA,1.50 A,39%,U3,ok
TX3V3,3.3 V,258 mA,412 mA,600 mA,69%,U7,ok
DOCK12,12.0 V,586 mA,874 mA,1.50 A,58%,U45,ok
DOCK3V3,3.3 V,270 mA,435 mA,600 mA,73%,U43,ok
HVDC,400.0 V,7.50 A,8.00 A,10.00 A,80%,U20,ok
V48_MAKO,48.0 V,62.86 A,75.64 A,80.00 A,95%,J3,tight
VEH12,12.0 V,623 mA,945 mA,1.50 A,63%,U25,ok
VEH3V3,3.3 V,330 mA,550 mA,800 mA,69%,U23,ok
