designator,value,package,manufacturer,mfr_part,lcsc,pins
C1,100nF,CAP-TH_L13.0-W6.0-P10.00-D0.6,TDK,B32921C3104M000,C361368,2
C16,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C17,0.1uF,C0603,CCTC(三环),TCC0603X7R824K250CT,C5360807,2
C18,1uF,C0603,CCTC(三环),TCC0603X7R824K250CT,C5360807,2
C19,820nF,C0603,CCTC(三环),TCC0603X7R824K250CT,C5360807,2
C2,100nF,CAP-TH_L13.0-W6.0-P10.00-D0.6,TDK,B32921C3104M000,C361368,2
C20,820nF,C0603,CCTC(三环),TCC0603X7R824K250CT,C5360807,2
C21,820nF,C0603,CCTC(三环),TCC0603X7R824K250CT,C5360807,2
C22,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C23,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C24,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C3,100nF,CAP-TH_L13.0-W6.0-P10.00-D0.6,TDK,B32921C3104M000,C361368,2
CN1,XT30UW-F.G.Y,CONN-TH_XT30UW-F.G.Y,AMASS(艾迈斯),XT30UW-F.G.Y,C19268025,2
CN2,XY-SM02W-MXS-TB,CONN-SMD_XY-SM02W-MXS-TB,XYECONN(辛译),XY-SM02W-MXS-TB,C55057035,4
CN3,XT60PB-F.G.Y,CONN-TH_XT60PB-F.G.Y,AMASS(艾迈斯),XT60PB-F.G.Y,C19268038,2
D1,ESDONCAN1LT1G,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,onsemi(安森美),ESDONCAN1LT1G,C90849,3
H1,3MM_HOLE,HOLEHOLE,,,,1
H2,3MM_HOLE,HOLEHOLE,,,,1
H3,3MM_HOLE,HOLEHOLE,,,,1
L1,L0805,L0805,null,L0805,C2908142,2
R3,15kΩ,R0603,EVER OHMS(天二科技),TR0603D15K0P0550Z,C5250761,2
R4,15kΩ,R0603,EVER OHMS(天二科技),TR0603D15K0P0550Z,C5250761,2
U1,12.5PF-C0402,C0402,null,12.5pF-C0402,C9900019607,2
U10,1.5uF,CAP-TH_L18.0-W11.0-P15.00-D0.8,TDK,B32672P5155K000,C3799347,2
U11,1.5uF,CAP-TH_L18.0-W11.0-P15.00-D0.8,TDK,B32672P5155K000,C3799347,2
U12,C0603,C0603,null,C0603,C9900029884,2
U13,C0603,C0603,null,C0603,C9900029884,2
U14,12.5PF-C0402,C0402,null,12.5pF-C0402,C9900019607,2
U15,12.5PF-C0402,C0402,null,12.5pF-C0402,C9900019607,2
U16,12.5PF-C0402,C0402,null,12.5pF-C0402,C9900019607,2
U17,C0603,C0603,null,C0603,C9900029884,2
U18,C0603,C0603,null,C0603,C9900029884,2
U2,12.5PF-C0402,C0402,null,12.5pF-C0402,C9900019607,2
U20,12.5PF-C0402,C0402,null,12.5pF-C0402,C9900019607,2
U23,1.5uF,CAP-TH_L18.0-W11.0-P15.00-D0.8,TDK,B32672P5155K000,C3799347,2
U25,KH-1.27FH-2X5P-H4.3-SMT,CONN-SMD_10P-P1.27_KINGHELM_KH-1.27FH-2X5P-H4.3-SMT,kinghelm(金航标),KH-1.27FH-2X5P-H4.3-SMT,C22440865,10
U26,1.5uF,CAP-TH_L18.0-W11.0-P15.00-D0.8,TDK,B32672P5155K000,C3799347,2
U27,C0603,C0603,null,C0603,C9900029884,2
U28,C0603,C0603,null,C0603,C9900029884,2
U29,1K-R0603,R0603,null,1K-R0603,C9900009267,2
U3,12.5PF-C0402,C0402,null,12.5pF-C0402,C9900019607,2
U30,AP2112K-3.3TRG1,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,DIODES(美台),AP2112K-3.3TRG1,C51118,5
U31,1.5uF,CAP-TH_L18.0-W11.0-P15.00-D0.8,TDK,B32672P5155K000,C3799347,2
U32,MURSD860A,TO-252-2_L6.5-W6.1-P4.60-LS10.4-BR,null,MURSD860A,C2852589,3
U33,MURSD860A,TO-252-2_L6.5-W6.1-P4.60-LS10.4-BR,null,MURSD860A,C2852589,3
U34,MURSD860A,TO-252-2_L6.5-W6.1-P4.60-LS10.4-BR,null,MURSD860A,C2852589,3
U35,MURSD860A,TO-252-2_L6.5-W6.1-P4.60-LS10.4-BR,null,MURSD860A,C2852589,3
U36,MURSD860A,TO-252-2_L6.5-W6.1-P4.60-LS10.4-BR,null,MURSD860A,C2852589,3
U37,MURSD860A,TO-252-2_L6.5-W6.1-P4.60-LS10.4-BR,null,MURSD860A,C2852589,3
U38,MURSD860A,TO-252-2_L6.5-W6.1-P4.60-LS10.4-BR,null,MURSD860A,C2852589,3
U39,MURSD860A,TO-252-2_L6.5-W6.1-P4.60-LS10.4-BR,null,MURSD860A,C2852589,3
U4,12.5PF-C0402,C0402,null,12.5pF-C0402,C9900019607,2
U40,MURSD860A,TO-252-2_L6.5-W6.1-P4.60-LS10.4-BR,null,MURSD860A,C2852589,3
U43,MURSD860A,TO-252-2_L6.5-W6.1-P4.60-LS10.4-BR,null,MURSD860A,C2852589,3
U44,MURSD860A,TO-252-2_L6.5-W6.1-P4.60-LS10.4-BR,null,MURSD860A,C2852589,3
U45,MURSD860A,TO-252-2_L6.5-W6.1-P4.60-LS10.4-BR,null,MURSD860A,C2852589,3
U49,STM32G431RBT6,LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL,ST(意法半导体),STM32G431RBT6,C431633,64
